sample_name,grp
sam899,0
sam4000,0
sam3616,0
sam1403,1
sam3874,1
sam3786,0
sam4387,0
sam2956,1
sam1513,1
sam1189,1
sam2990,1
sam2081,1
sam4984,1
sam3438,1
sam109,0
sam4699,0
sam2828,1
sam4748,0
sam59,1
sam77,1
sam797,0
sam369,1
sam4906,0
sam786,0
sam2089,0
sam2315,0
sam3385,0
sam3606,0
sam4112,0
sam1903,1
sam1704,1
sam122,1
sam1845,1
sam2370,0
sam3729,1
sam911,1
sam125,0
sam2573,0
sam1587,0
sam1258,1
sam3442,1
sam3481,0
sam4109,1
sam1179,1
sam3464,1
sam3470,1
sam3468,1
sam2104,1
sam443,1
sam2228,0
sam4417,1
sam926,1
sam4021,0
sam2146,0
sam4771,1
sam1412,1
sam3467,1
sam2073,1
sam1510,1
sam1228,1
sam4073,1
sam2586,1
sam4451,1
sam2952,0
sam3886,0
sam325,0
sam3978,0
sam3577,0
sam2212,0
sam3299,0
sam3036,0
sam1499,1
sam1503,1
sam1007,0
sam4180,0
sam3014,0
sam3517,0
sam1468,1
sam1226,0
sam3168,1
sam2268,0
sam3809,0
sam1217,0
sam3977,1
sam4585,1
sam421,1
sam3423,1
sam7,0
sam933,0
sam1692,0
sam440,1
sam1314,0
sam679,0
sam1944,1
sam4611,0
sam3304,0
sam2269,1
sam4634,0
sam4081,1
sam2519,0
sam2440,1
sam4038,1
sam1894,0
sam4245,1
sam4830,0
sam2641,0
sam195,0
sam1475,1
sam4617,1
sam1212,0
sam2439,1
sam1658,1
sam2701,0
sam3083,0
sam2706,1
sam4227,1
sam2843,1
sam2303,1
sam1131,1
sam1462,1
sam277,1
sam2223,0
sam2332,1
sam4323,0
sam1303,0
sam2518,0
sam223,0
sam2037,0
sam1925,1
sam574,0
sam1237,0
sam3545,0
sam2134,1
sam1335,1
sam2458,1
sam419,0
sam4915,1
sam1105,0
sam258,0
sam296,0
sam2362,0
sam387,0
sam3309,1
sam4014,0
sam2232,1
sam2555,1
sam4336,0
sam3516,0
sam1840,0
sam4385,1
sam1564,0
sam2016,0
sam1401,1
sam713,1
sam2421,1
sam2620,0
sam210,0
sam4945,0
sam1290,0
sam450,1
sam4092,0
sam2570,1
sam1821,1
sam959,1
sam1794,1
sam4787,0
sam655,0
sam2408,0
sam3853,1
sam1996,1
sam1761,0
sam2355,1
sam2742,0
sam2618,1
sam412,0
sam1775,1
sam3979,0
sam2187,0
sam2380,0
sam3964,0
sam4312,0
sam4775,1
sam3703,0
sam3973,1
sam4766,0
sam3559,1
sam4111,0
sam3498,1
sam3766,0
sam431,0
sam4485,0
sam2322,0
sam1367,1
sam1993,1
sam2852,0
sam1177,1
sam3529,1
sam1477,0
sam3741,0
sam2046,0
sam103,0
sam4332,1
sam2993,1
sam1264,1
sam2882,1
sam3139,0
sam3623,0
sam3204,1
sam4279,1
sam3300,0
sam4994,0
sam3634,1
sam1644,1
sam4506,1
sam1,0
sam1581,1
